date,hour,energy_kWh
6/1/2012,1,1.011
6/1/2012,2,0.451
6/1/2012,3,0.505
6/1/2012,4,0.441
6/1/2012,5,0.468
6/1/2012,6,0.451
6/1/2012,7,0.464
6/1/2012,8,0.897
6/1/2012,9,1.066
6/1/2012,10,0.946
6/1/2012,11,0.465
6/1/2012,12,0.792
6/1/2012,13,0.468
6/1/2012,14,0.674
6/1/2012,15,0.503
6/1/2012,16,0.556
6/1/2012,17,0.925
6/1/2012,18,0.713
6/1/2012,19,0.597
6/1/2012,20,0.559
6/1/2012,21,0.752
6/1/2012,22,1.584
6/1/2012,23,4.188
6/2/2012,0,0.613
6/2/2012,1,0.442
6/2/2012,2,0.496
6/2/2012,3,0.484
6/2/2012,4,0.447
6/2/2012,5,0.46
6/2/2012,6,0.5
6/2/2012,7,0.696
6/2/2012,8,0.627
6/2/2012,9,0.961
6/2/2012,10,0.982
6/2/2012,11,0.84
6/2/2012,12,1.159
6/2/2012,13,2.213
6/2/2012,14,0.457
6/2/2012,15,0.479
6/2/2012,16,0.462
6/2/2012,17,0.473
6/2/2012,18,2.104
6/2/2012,19,1.536
6/2/2012,20,1.152
6/2/2012,21,0.935
6/2/2012,22,0.871
6/2/2012,23,0.942
6/3/2012,0,1.133
6/3/2012,1,1.428
6/3/2012,2,0.435
6/3/2012,3,0.504
6/3/2012,4,0.466
6/3/2012,5,0.449
6/3/2012,6,0.452
6/3/2012,7,0.477
6/3/2012,8,0.452
6/3/2012,9,0.627
6/3/2012,10,1.494
6/3/2012,11,0.937
6/3/2012,12,1.575
6/3/2012,13,1.123
6/3/2012,14,0.529
6/3/2012,15,0.63
6/3/2012,16,0.618
6/3/2012,17,1.965
6/3/2012,18,1.191
6/3/2012,19,1.22
6/3/2012,20,1.248
6/3/2012,21,1.274
6/3/2012,22,1.298
6/3/2012,23,1.319
6/4/2012,0,1.337
6/4/2012,1,1.351
6/4/2012,2,1.536
6/4/2012,3,1.54
6/4/2012,4,1.537
6/4/2012,5,1.527
6/4/2012,6,1.509
6/4/2012,7,1.482
6/4/2012,8,1.446
6/4/2012,9,1.399
6/4/2012,10,1.199
6/4/2012,11,1.29
6/4/2012,12,0.947
6/4/2012,13,0.626
6/4/2012,14,0.827
6/4/2012,15,0.766
6/4/2012,16,0.871
6/4/2012,17,0.761
6/4/2012,18,0.667
6/4/2012,19,0.624
6/4/2012,20,0.598
6/4/2012,21,0.586
6/4/2012,22,0.586
6/4/2012,23,0.598
6/5/2012,0,0.618
6/5/2012,1,0.644
6/5/2012,2,0.472
6/5/2012,3,0.457
6/5/2012,4,0.469
6/5/2012,5,0.974
6/5/2012,6,0.447
6/5/2012,7,1.265
6/5/2012,8,0.947
6/5/2012,9,0.634
6/5/2012,10,1.029
6/5/2012,11,0.606
6/5/2012,12,0.723
6/5/2012,13,0.627
6/5/2012,14,2.467
6/5/2012,15,0.918
6/5/2012,16,1.768
6/5/2012,17,2.221
6/5/2012,18,0.994
6/5/2012,19,1.063
6/5/2012,20,1.124
6/5/2012,21,1.177
6/5/2012,22,1.222
6/5/2012,23,1.261
6/6/2012,0,1.292
6/6/2012,1,1.316
6/6/2012,2,0.922
6/6/2012,3,0.93
6/6/2012,4,0.934
6/6/2012,5,0.934
6/6/2012,6,0.931
6/6/2012,7,0.924
6/6/2012,8,0.914
6/6/2012,9,0.9
6/6/2012,10,0.884
6/6/2012,11,0.865
6/6/2012,12,0.844
6/6/2012,13,0.82
6/6/2012,14,0.795
6/6/2012,15,0.767
6/6/2012,16,0.738
6/6/2012,17,0.707
6/6/2012,18,0.841
6/6/2012,19,0.942
6/6/2012,20,2.544
6/6/2012,21,3.186
6/6/2012,22,2.273
6/6/2012,23,1.515
6/7/2012,0,1.225
6/7/2012,1,0.475
6/7/2012,2,1.619
6/7/2012,3,1.492
6/7/2012,4,1.376
6/7/2012,5,1.273
6/7/2012,6,1.186
6/7/2012,7,1.117
6/7/2012,8,1.07
6/7/2012,9,1.046
6/7/2012,10,1.132
6/7/2012,11,0.628
6/7/2012,12,0.618
6/7/2012,13,0.968
6/7/2012,14,0.848
6/7/2012,15,0.8
6/7/2012,16,1.113
6/7/2012,17,1.059
6/7/2012,18,1.449
6/7/2012,19,1.425
6/7/2012,20,1.386
6/7/2012,21,1.336
6/7/2012,22,1.281
6/7/2012,23,1.227
6/8/2012,0,1.179
6/8/2012,1,1.143
6/8/2012,2,0.98
6/8/2012,3,1.122
6/8/2012,4,0.922
6/8/2012,5,0.883
6/8/2012,6,0.896
6/8/2012,7,1.004
6/8/2012,8,0.861
6/8/2012,9,1.151
6/8/2012,10,0.454
6/8/2012,11,0.496
6/8/2012,12,0.537
6/8/2012,13,0.574
6/8/2012,14,0.606
6/8/2012,15,0.632
6/8/2012,16,0.649
6/8/2012,17,0.655
6/8/2012,18,2.289
